date,region,abbreviation,hpi
1985-04-01,West,CA,126.45
1985-07-01,West,CA,129.27
1985-10-01,West,CA,130.67
1986-01-01,West,CA,132.34
1986-04-01,West,CA,134.89
1986-07-01,West,CA,137.81
1986-10-01,West,CA,141.15
1987-01-01,West,CA,144.77
1987-04-01,West,CA,148.3
1987-07-01,West,CA,152.98
1987-10-01,West,CA,157.31
1988-01-01,West,CA,163.05
1988-04-01,West,CA,169.8
1988-07-01,West,CA,177.88
1988-10-01,West,CA,187.65
1989-01-01,West,CA,196.4
1989-04-01,West,CA,206.12
1989-07-01,West,CA,217.97
1989-10-01,West,CA,224.85
1990-01-01,West,CA,227.61
1990-04-01,West,CA,228.38
1990-07-01,West,CA,230.3
1990-10-01,West,CA,228.75
1991-01-01,West,CA,228.59
1991-04-01,West,CA,227.12
1991-07-01,West,CA,227.13
1991-10-01,West,CA,228.82
1992-01-01,West,CA,227.59
1992-04-01,West,CA,225.24
1992-07-01,West,CA,224.8
1992-10-01,West,CA,222.71
1993-01-01,West,CA,219.21
1993-04-01,West,CA,217.33
1993-07-01,West,CA,215.49
1993-10-01,West,CA,214.21
1994-01-01,West,CA,212.08
1994-04-01,West,CA,206.95
1994-07-01,West,CA,203.89
1994-10-01,West,CA,200.93
1995-01-01,West,CA,199.59
1995-04-01,West,CA,201.54
1995-07-01,West,CA,203.9
1995-10-01,West,CA,203.57
1996-01-01,West,CA,203.52
1996-04-01,West,CA,200.9
1996-07-01,West,CA,200.52
1996-10-01,West,CA,201.58
1997-01-01,West,CA,202.53
1997-04-01,West,CA,204.57
1997-07-01,West,CA,208.67
1997-10-01,West,CA,212.24
1998-01-01,West,CA,216.87
1998-04-01,West,CA,221.51
1998-07-01,West,CA,227.29
1998-10-01,West,CA,231.65
1999-01-01,West,CA,235.22
1999-04-01,West,CA,239.24
1999-07-01,West,CA,244.7
1999-10-01,West,CA,249.92
2000-01-01,West,CA,260.77
2000-04-01,West,CA,267.81
2000-07-01,West,CA,276.77
2000-10-01,West,CA,285.32
2001-01-01,West,CA,296.33
2001-04-01,West,CA,305.37
2001-07-01,West,CA,311.81
2001-10-01,West,CA,316.19
2002-01-01,West,CA,324.64
2002-04-01,West,CA,335.66
2002-07-01,West,CA,348.29
2002-10-01,West,CA,358.46
2003-01-01,West,CA,366.73
2003-04-01,West,CA,373.58
2003-07-01,West,CA,386.22
2003-10-01,West,CA,410.96
2004-01-01,West,CA,424.16
2004-04-01,West,CA,450.74
2004-07-01,West,CA,496.53
2004-10-01,West,CA,515.57
2005-01-01,West,CA,538.0
2005-04-01,West,CA,569.44
2005-07-01,West,CA,597.71
2005-10-01,West,CA,624.33
2006-01-01,West,CA,637.22
2006-04-01,West,CA,642.96
2006-07-01,West,CA,645.12
2006-10-01,West,CA,641.3
2007-01-01,West,CA,632.61
2007-04-01,West,CA,621.87
2007-07-01,West,CA,598.63
